text,sentiment
"I love this phone, the battery life is amazing and the camera is great","positive"
"Terrible customer service, I will never buy from this company again","negative"
"The product is okay, not the best but not the worst either","neutral"
"Super fast delivery and the quality exceeded my expectations","positive"
"The package arrived broken and support did not help at all","negative"
"Decent laptop for the price, performs well for everyday tasks","positive"
"I am disappointed, the item stopped working after a week","negative"
"Nothing special about this movie, it was just average","neutral"
"Fantastic experience, the staff were very friendly and helpful","positive"
"The app keeps crashing and is full of bugs","negative"
"This restaurant has delicious food and a cozy atmosphere","positive"
"Shipping took too long and the item was different from the description","negative"
"It works as described, I'm neither impressed nor disappointed","neutral"
"Great value for money, highly recommend this product","positive"
"Worst purchase ever, total waste of money","negative"
"The update did not change much, but the app is still usable","neutral"
"Beautiful design and very easy to use","positive"
"Battery drains quickly and the screen freezes often","negative"
"The lecture was informative but a bit boring","neutral"
"Amazing sound quality and very comfortable headphones","positive"
"The keyboard feels cheap and some keys are not responsive","negative"
"Customer support responded quickly and solved my issue","positive"
"The color is different from what I expected, but it still looks fine","neutral"
"I regret buying this, it broke on the first day","negative"
